INFO  2018-04-05 13:48:26,997 Starting MAGE client version 1.4.28V1                                                      =>[main] MageFrame.main 
INFO  2018-04-05 13:48:27,003 Logging level: INFO                                                                        =>[main] MageFrame.main 
WARN  2018-04-05 13:48:30,549 SVG or GIF symbol can't be load: RW                                                        =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,550 SVG or GIF symbol can't be load: 15                                                        =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,550 SVG or GIF symbol can't be load: 8                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,550 SVG or GIF symbol can't be load: WU                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,551 SVG or GIF symbol can't be load: 9                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,551 SVG or GIF symbol can't be load: 16                                                        =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,551 SVG or GIF symbol can't be load: RP                                                        =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,552 SVG or GIF symbol can't be load: 2                                                         =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,552 SVG or GIF symbol can't be load: B                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,552 SVG or GIF symbol can't be load: WP                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,553 SVG or GIF symbol can't be load: 6                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,553 SVG or GIF symbol can't be load: 3                                                         =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,552 SVG or GIF symbol can't be load: 2R                                                        =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,554 SVG or GIF symbol can't be load: 4                                                         =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,553 SVG or GIF symbol can't be load: 7                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,553 SVG or GIF symbol can't be load: 2W                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,556 SVG or GIF symbol can't be load: 2B                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,555 SVG or GIF symbol can't be load: 5                                                         =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,554 SVG or GIF symbol can't be load: S                                                         =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,556 SVG or GIF symbol can't be load: 10                                                        =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,556 SVG or GIF symbol can't be load: G                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,556 SVG or GIF symbol can't be load: X                                                         =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,557 SVG or GIF symbol can't be load: GU                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,557 SVG or GIF symbol can't be load: 11                                                        =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,557 SVG or GIF symbol can't be load: T                                                         =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,558 SVG or GIF symbol can't be load: 12                                                        =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,558 SVG or GIF symbol can't be load: BG                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,558 SVG or GIF symbol can't be load: C                                                         =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,559 SVG or GIF symbol can't be load: BR                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,559 SVG or GIF symbol can't be load: 0                                                         =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,558 SVG or GIF symbol can't be load: U                                                         =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,560 SVG or GIF symbol can't be load: 1                                                         =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,559 SVG or GIF symbol can't be load: BP                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,559 SVG or GIF symbol can't be load: E                                                         =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,560 SVG or GIF symbol can't be load: UB                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,560 SVG or GIF symbol can't be load: 2U                                                        =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,560 SVG or GIF symbol can't be load: 2G                                                        =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,561 SVG or GIF symbol can't be load: W                                                         =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,561 SVG or GIF symbol can't be load: UR                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,561 SVG or GIF symbol can't be load: GW                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,562 SVG or GIF symbol can't be load: UP                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,562 SVG or GIF symbol can't be load: WB                                                        =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,562 SVG or GIF symbol can't be load: R                                                         =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,563 SVG or GIF symbol can't be load: GP                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,563 SVG or GIF symbol can't be load: RG                                                        =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
