1|Abbey Griffin
2|Angel of Flight Alabaster
3|Angelic Overseer
4|Avacynian Priest
5|Bonds of Faith
6|Champion of the Parish
7|Chapel Geist
8a|Cloistered Youth
8b|Unholy Fiend
9|Dearly Departed
10|Divine Reckoning
11|Doomed Traveler
12|Elder Cathar
13|Elite Inquisitor
14|Feeling of Dread
15|Fiend Hunter
16|Gallows Warden
17|Geist-Honored Monk
18|Ghostly Possession
19|Intangible Virtue
20|Mausoleum Guard
21|Mentor of the Meek
22|Midnight Haunting
23|Mikaeus, the Lunarch
24|Moment of Heroism
25|Nevermore
26|Paraselene
27|Purify the Grave
28|Rally the Peasants
29|Rebuke
30|Selfless Cathar
31|Silverchase Fox
32|Slayer of the Wicked
33|Smite the Monstrous
34|Spare from Evil
35|Spectral Rider
36|Stony Silence
37|Thraben Purebloods
38a|Thraben Sentry
38b|Thraben Militia
39|Unruly Mob
40|Urgent Exorcism
41|Village Bell-Ringer
42|Voiceless Spirit
43|Armored Skaab
44|Back from the Brink
45|Battleground Geist
46|Cackling Counterpart
47a|Civilized Scholar
47b|Homicidal Brute
48|Claustrophobia
49|Curiosity
50|Curse of the Bloody Tome
51a|Delver of Secrets
51b|Insectile Aberration
52|Deranged Assistant
53|Dissipate
54|Dream Twist
55|Forbidden Alchemy
56|Fortress Crab
57|Frightful Delusion
58|Grasp of Phantoms
59|Hysterical Blindness
60|Invisible Stalker
61|Laboratory Maniac
62|Lantern Spirit
63|Lost in the Mist
64a|Ludevic's Test Subject
64b|Ludevic's Abomination
65|Makeshift Mauler
66|Memory's Journey
67|Mindshrieker
68|Mirror-Mad Phantasm
69|Moon Heron
70|Murder of Crows
71|Rooftop Storm
72|Runic Repetition
73|Selhoff Occultist
74|Sensory Deprivation
75|Silent Departure
76|Skaab Goliath
77|Skaab Ruinator
78|Snapcaster Mage
79|Spectral Flight
80|Stitched Drake
81|Stitcher's Apprentice
82|Sturmgeist
83|Think Twice
84|Undead Alchemist
85|Abattoir Ghoul
86|Altar's Reap
87|Army of the Damned
88|Bitterheart Witch
89|Bloodgift Demon
90a|Bloodline Keeper
90b|Lord of Lineage
91|Brain Weevil
92|Bump in the Night
93|Corpse Lunge
94|Curse of Death's Hold
95|Curse of Oblivion
96|Dead Weight
97|Diregraf Ghoul
98|Disciple of Griselbrand
99|Endless Ranks of the Dead
100|Falkenrath Noble
101|Ghoulcaller's Chant
102|Ghoulraiser
103|Gruesome Deformity
104|Heartless Summoning
105|Liliana of the Veil
106|Manor Skeleton
107|Markov Patrician
108|Maw of the Mire
109|Moan of the Unhallowed
110|Morkrut Banshee
111|Night Terrors
112|Reaper from the Abyss
113|Rotting Fensnake
114a|Screeching Bat
114b|Stalking Vampire
115|Sever the Bloodline
116|Skeletal Grimace
117|Skirsdag High Priest
118|Stromkirk Patrol
119|Tribute to Hunger
120|Typhoid Rats
121|Unbreathing Horde
122|Unburial Rites
123|Vampire Interloper
124|Victim of Night
125|Village Cannibals
126|Walking Corpse
127|Ancient Grudge
128|Ashmouth Hound
129|Balefire Dragon
130|Blasphemous Act
131|Bloodcrazed Neonate
132|Brimstone Volley
133|Burning Vengeance
134|Charmbreaker Devils
135|Crossway Vampire
136|Curse of Stalked Prey
137|Curse of the Nightly Hunt
138|Curse of the Pierced Heart
139|Desperate Ravings
140|Devil's Play
141|Falkenrath Marauders
142|Feral Ridgewolf
143|Furor of the Bitten
144|Geistflame
145a|Hanweir Watchkeep
145b|Bane of Hanweir
146|Harvest Pyre
147|Heretic's Punishment
148|Infernal Plunge
149a|Instigator Gang
149b|Wildblood Pack
150|Into the Maw of Hell
151|Kessig Wolf
152a|Kruin Outlaw
152b|Terror of Kruin Pass
153|Night Revelers
154|Nightbird's Clutches
155|Past in Flames
156|Pitchburn Devils
157|Rage Thrower
158|Rakish Heir
159a|Reckless Waif
159b|Merciless Predator
160|Riot Devils
161|Rolling Temblor
162|Scourge of Geier Reach
163|Skirsdag Cultist
164|Stromkirk Noble
165a|Tormented Pariah
165b|Rampaging Werewolf
166|Traitorous Blood
167|Vampiric Fury
168a|Village Ironsmith
168b|Ironfang
169|Ambush Viper
170|Avacyn's Pilgrim
171|Boneyard Wurm
172|Bramblecrush
173|Caravan Vigil
174|Creeping Renaissance
175|Darkthicket Wolf
176a|Daybreak Ranger
176b|Nightfall Predator
177|Elder of Laurels
178|Essence of the Wild
179|Festerhide Boar
180|Full Moon's Rise
181a|Garruk Relentless
181b|Garruk, the Veil-Cursed
182a|Gatstaf Shepherd
182b|Gatstaf Howler
183|Gnaw to the Bone
184|Grave Bramble
185a|Grizzled Outcasts
185b|Krallenhorde Wantons
186|Gutter Grime
187|Hamlet Captain
188|Hollowhenge Scavenger
189|Kessig Cagebreakers
190|Kindercatch
191|Lumberknot
192|Make a Wish
193a|Mayor of Avabruck
193b|Howlpack Alpha
194|Moldgraf Monstrosity
195|Moonmist
196|Mulch
197|Naturalize
198|Orchard Spirit
199|Parallel Lives
200|Prey Upon
201|Ranger's Guile
202|Somberwald Spider
203|Spider Spawning
204|Spidery Grasp
205|Splinterfright
206|Travel Preparations
207|Tree of Redemption
208a|Ulvenwald Mystics
208b|Ulvenwald Primordials
209a|Villagers of Estwald
209b|Howlpack of Estwald
210|Woodland Sleuth
211|Wreath of Geists
212|Evil Twin
213|Geist of Saint Traft
214|Grimgrin, Corpse-Born
215|Olivia Voldaren
216|Blazing Torch
217|Butcher's Cleaver
218|Cellar Door
219|Cobbled Wings
220|Creepy Doll
221|Demonmail Hauberk
222|Galvanic Juggernaut
223|Geistcatcher's Rig
224|Ghoulcaller's Bell
225|Graveyard Shovel
226|Grimoire of the Dead
227|Inquisitor's Flail
228|Manor Gargoyle
229|Mask of Avacyn
230|One-Eyed Scarecrow
231|Runechanter's Pike
232|Sharpened Pitchfork
233|Silver-Inlaid Dagger
234|Traveler's Amulet
235|Trepanation Blade
236|Witchbane Orb
237|Wooden Stake
238|Clifftop Retreat
239|Gavony Township
240|Ghost Quarter
241|Hinterland Harbor
242|Isolated Chapel
243|Kessig Wolf Run
244|Moorland Haunt
245|Nephalia Drownyard
246|Shimmering Grotto
247|Stensia Bloodhall
248|Sulfur Falls
249|Woodland Cemetery
250|Plains
251|Plains
252|Plains
253|Island
254|Island
255|Island
256|Swamp
257|Swamp
258|Swamp
259|Mountain
260|Mountain
261|Mountain
262|Forest
263|Forest
264|Forest
