Phantasmal Dragon|Magic 2012|71|U|{2}{U}{U}|Creature — Dragon Illusion|5|5|Flying$When Phantasmal Dragon becomes the target of a spell or ability, sacrifice it.|
Crimson Mage|Magic 2012|129|U|{1}{R}|Creature — Human Shaman|2|1|{R}: Target creature you control gains haste until end of turn. <i>(It can attack and {tap} this turn.)</i>|
Onyx Mage|Magic 2012|103|U|{1}{B}|Creature — Human Wizard|2|1|{1}{B}: Target creature you control gains deathtouch until end of turn. <i>(Any amount of damage it deals to a creature is enough to destroy it.)</i>|
Pride Guardian|Magic 2012|31|C|{W}|Creature — Cat Monk|0|3|Defender <i>(This creature can't attack.)</i>$Whenever Pride Guardian blocks, you gain 3 life.|
Timely Reinforcements|Magic 2012|40|U|{2}{W}|Sorcery|||If you have less life than an opponent, you gain 6 life. If you control fewer creatures than an opponent, put three 1/1 white Soldier creature tokens onto the battlefield.|
Stingerfling Spider|Magic 2012|197|U|{4}{G}|Creature — Spider|2|5|Reach <i>(This creature can block creatures with flying.)</i>$When Stingerfling Spider enters the battlefield, you may destroy target creature with flying.|
Garruk's Horde|Magic 2012|176|R|{5}{G}{G}|Creature — Beast|7|7|Trample$Play with the top card of your library revealed.$You may cast the top card of your library if it's a creature card. <i>(Do this only any time you could cast that creature card. You still pay the spell's costs.)</i>|
Arbalest Elite|Magic 2012|5|U|{2}{W}{W}|Creature — Human Archer|2|3|{2}{W}, {tap}: Arbalest Elite deals 3 damage to target attacking or blocking creature. Arbalest Elite doesn't untap during your next untap step.|
Gladecover Scout|Magic 2012|178|C|{G}|Creature — Elf Scout|1|1|Hexproof <i>(This creature can't be the target of spells or abilities your opponents control.)</i>|
Aegis Angel|Magic 2012|1|R|{4}{W}{W}|Creature — Angel|5|5|Flying$When Aegis Angel enters the battlefield, another target permanent is indestructible for as long as you control Aegis Angel. <i>(Effects that say &quot;destroy&quot; don't destroy that permanent. An indestructible creature can't be destroyed by damage.)</i>|
Drifting Shade|Magic 2012|96|C|{3}{B}|Creature — Shade|1|1|Flying${B}: Drifting Shade gets +1/+1 until end of turn.|
Sphinx of Uthuun|Magic 2012|76|R|{5}{U}{U}|Creature — Sphinx|5|6|Flying$When Sphinx of Uthuun enters the battlefield, reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.|
Guardians' Pledge|Magic 2012|22|C|{1}{W}{W}|Instant|||White creatures you control get +2/+2 until end of turn.|
Druidic Satchel|Magic 2012|207|R|{3}|Artifact|||{2}, {tap}: Reveal the top card of your library. If it's a creature card, put a 1/1 green Saproling creature token onto the battlefield. If it's a land card, put that card onto the battlefield under your control. If it's a noncreature, nonland card, you gain 2 life.|
Phantasmal Image|Magic 2012|72|R|{1}{U}|Creature — Illusion|0|0|You may have Phantasmal Image enter the battlefield as a copy of any creature on the battlefield, except it's an Illusion in addition to its other types and it gains &quot;When this creature becomes the target of a spell or ability, sacrifice it.&quot;|
