Doom Whisperer:2332
Aurelia, Exemplar of Justice:2258
Vraska, Golgari Queen:2211
Ral, Izzet Viceroy:2196
Dream Eater:2180
Thief of Sanity:2164
Assassin's Trophy:2153
Trostani Discordant:2141
Beast Whisperer:2102
Nullhide Ferox:2102
Legion Warboss:2100
March of the Multitudes:2094
Conclave Tribunal:2092
Niv-Mizzet, Parun:2088
Light of the Legion:2073
Price of Fame:2036
Etrata, the Silencer:2019
Venerated Loxodon:2017
Justice Strike:2016
Tajic, Legion's Edge:2005
Underrealm Lich:1985
Pelt Collector:1984
Izoni, Thousand-Eyed:1977
Find // Finality:1976
Lazav, the Multifarious:1973
Nightveil Sprite:1968
Midnight Reaper:1964
Lava Coil:1963
Watcher in the Mist:1961
Response // Resurgence:1958
Knight of Autumn:1950
Dimir Spybug:1948
Integrity // Intervention:1945
Nightveil Predator:1943
Emmara, Soul of the Accord:1942
Luminous Bonds:1932
Artful Takedown:1923
Ritual of Soot:1914
Blood Operative:1903
Conclave Cavalier:1902
Truefire Captain:1902
Runaway Steam-Kin:1901
Murmuring Mystic:1899
Arclight Phoenix:1894
Risk Factor:1893
Boros Challenger:1887
Dead Weight:1887
Bounty of Might:1886
Connive // Concoct:1886
Status // Statue:1885
Deadly Visit:1878
Deafening Clarion:1878
Roc Charger:1864
Kraul Harpooner:1839
Citywatch Sphinx:1837
Assure // Assemble:1836
Expansion // Explosion:1836
Capture Sphere:1834
Thoughtbound Phantasm:1832
Crackling Drake:1830
Dawn of Hope:1827
Disinformation Campaign:1826
House Guildmage:1824
Quasiduplicate:1816
Sunhome Stalwart:1815
Skyknight Legionnaire:1805
Darkblade Agent:1788
Plaguecrafter:1786
Goblin Cratermaker:1773
Affectionate Indrik:1772
Whisper Agent:1771
Notion Rain:1761
Ledev Champion:1757
Charnel Troll:1751
Thought Erasure:1750
Golgari Findbroker:1749
Chemister's Insight:1743
Goblin Banneret:1737
Swiftblade Vindicator:1736
Command the Storm:1728
Camaraderie:1726
Wee Dragonauts:1723
District Guide:1722
Hypothesizzle:1715
League Guildmage:1712
Direct Current:1711
Experimental Frenzy:1711
Discovery // Dispersal:1708
Rampaging Monument:1705
Rosemane Centaur:1698
Inescapable Blaze:1693
Watery Grave:1687
Legion Guildmage:1680
Chamber Sentry:1674
Inspiring Unicorn:1671
Ionize:1669
Flower // Flourish:1663
Divine Visitation:1656
Dimir Informant:1653
Healer's Hawk:1651
Conclave Guildmage:1648
Sinister Sabotage:1647
Parhelion Patrol:1640
Ochran Assassin:1639
Goblin Electromancer:1634
Glowspore Shaman:1631
Siege Wurm:1629
Wojek Bodyguard:1629
Hellkite Whelp:1626
Hired Poisoner:1625
Unexplained Disappearance:1625
Overgrown Tomb:1624
Prey Upon:1624
Pitiless Gorgon:1622
Flight of Equenauts:1621
Hatchery Spider:1621
Temple Garden:1621
Beacon Bolt:1620
Citywide Bust:1615
Bounty Agent:1613
Piston-Fist Cyclops:1605
Steam Vents:1600
Erratic Cyclops:1582
Swarm Guildmage:1582
Sacred Foundry:1581
Mission Briefing:1580
Muse Drake:1574
Arboretum Elemental:1572
Worldsoul Colossus:1572
Skyline Scout:1569
Smelt-Ward Minotaur:1568
Burglar Rat:1561
Whispering Snitch:1560
Fresh-Faced Recruit:1555
Necrotic Wound:1554
Electrostatic Field:1541
Disdainful Stroke:1534
Gruesome Menagerie:1534
Sprouting Renewal:1534
Sonic Assault:1533
Sure Strike:1527
Severed Strands:1522
Beamsplitter Mage:1521
Chromatic Lantern:1516
Ledev Guardian:1510
Radical Idea:1502
Pilfering Imp:1500
Vernadi Shieldmate:1497
Ornery Goblin:1495
Gatekeeper Gargoyle:1489
Barging Sergeant:1484
Blade Instructor:1483
Rhizome Lurcher:1481
Invert // Invent:1477
Ironshell Beetle:1477
Generous Stray:1474
Demotion:1469
Might of the Masses:1468
Molderhulk:1467
Selective Snare:1466
Hammer Dropper:1463
Swathcutter Giant:1462
Firemind's Research:1460
Devkarin Dissident:1459
Mnemonic Betrayal:1459
Vigorspore Wurm:1459
Haazda Marshal:1457
Lotleth Giant:1455
Righteous Blow:1451
Fire Urchin:1446
Gird for Battle:1441
Kraul Swarm:1437
Veiled Shade:1437
Centaur Peacemaker:1434
Golgari Raiders:1434
Passwall Adept:1434
Sworn Companions:1434
Erstwhile Trooper:1432
Hunted Witness:1431
Kraul Foragers:1431
Collar the Culprit:1427
Mausoleum Secrets:1424
Take Heart:1424
Dazzling Lights:1419
Rubblebelt Boar:1418
Sumala Woodshaper:1418
Intrusive Packbeast:1416
Loxodon Restorer:1415
Omnispell Adept:1415
Spinal Centipede:1415
Glaive of the Guildpact:1414
Vivid Revival:1410
Douser of Lights:1409
Devious Cover-Up:1404
Chance for Glory:1402
Child of Night:1402
Enhanced Surveillance:1399
Hitchclaw Recluse:1398
Mephitic Vapors:1395
Circuitous Route:1389
Cosmotronic Wave:1389
Leapfrog:1379
Goblin Locksmith:1377
Guildmages' Forum:1370
Guild Summit:1368
Bartizan Bats:1367
Undercity Uprising:1363
Thousand-Year Storm:1355
Drowned Secrets:1349
Boros Guildgate :1345
Grappling Sundew:1344
Boros Guildgate :1343
Tenth District Guard:1342
Izzet Guildgate :1338
Crushing Canopy:1335
Portcullis Vine:1333
Undercity Necrolisk:1332
Dimir Guildgate :1331
Barrier of Bones:1327
Wild Ceratok:1327
Izzet Guildgate :1326
Gravitic Punch:1320
Silent Dart:1310
Wary Okapi:1309
Pack's Favor:1307
Garrison Sergeant:1303
Vedalken Mesmerist:1303
Golgari Guildgate :1295
Golgari Guildgate :1286
Dimir Guildgate :1280
Maniacal Rage:1280
Selesnya Guildgate :1280
Urban Utopia:1278
Wall of Mist:1273
Maximize Altitude:1268
Join Shields:1267
Selesnya Guildgate :1266
Book Devourer:1263
Wishcoin Crab:1262
Narcomoeba:1257
Crush Contraband:1248
Gateway Plaza:1248
Fearless Halberdier:1246
Torch Courier:1242
Candlelight Vigil:1241
Moodmark Painter:1230
Creeping Chill:1218
Izzet Locket:1217
Dimir Locket:1202
Maximize Velocity:1200
Unmoored Ego:1184
Never Happened:1175
Golgari Locket:1173
Selesnya Locket:1154
Boros Locket:1128
Street Riot:1110
Vicious Rumors:1101
Pause for Reflection:1089
Wand of Vertebrae:1073
