Consecrated Sphinx:2182
Ancestral Vision:2144
Archangel of Thune:2141
Elesh Norn, Grand Cenobite:2135
Mana Drain:2124
Urabrask the Hidden:2107
Sheoldred, Whispering One:2106
Swords to Plowshares:2106
Primeval Titan:2103
Ob Nixilis, the Fallen:2081
Doom Blade:2064
Rampaging Baloths:2056
Thundermaw Hellkite:2053
Restoration Angel:2044
Keiga, the Tide Star:2042
Avacyn, Angel of Hope:2029
Kiki-Jiki, Mirror Breaker:2024
Kokusho, the Evening Star:2020
Cryptic Command:2012
Supreme Verdict:2002
Genesis Hydra:2001
Fireball:2000
Emeria Angel:1992
Austere Command:1969
Blood Baron of Vizkopa:1968
Lotus Cobra:1955
Sphinx of Uthuun:1927
Yosei, the Morning Star:1924
Rift Bolt:1912
Scourge of Valkas:1909
Bogardan Hellkite:1907
Ryusei, the Falling Star:1907
Spiritmonger:1900
Vorinclex, Voice of Hunger:1897
Indulgent Tormentor:1888
Heroes’ Bane:1885
Jugan, the Rising Star:1877
Simic Sky Swallower:1874
Serra Angel:1873
Grisly Spectacle:1865
Rune-Scarred Demon:1864
Channel:1861
Hypersonic Dragon:1856
Lightning Helix:1856
Teferi, Mage of Zhalfir:1854
Knight of the Reliquary:1848
Thran Dynamo:1848
Thoughtseize:1839
Anger of the Gods:1836
Savageborn Hydra:1829
Charmbreaker Devils:1828
Staggershock:1824
Malfegor:1812
Palladium Myr:1808
Draconic Roar:1796
Ulcerate:1795
Heat Ray:1794
Mahamoti Djinn:1793
Hoarding Dragon:1786
Corpsejack Menace:1783
Abyssal Persecutor:1774
Firemane Angel:1771
Curse of Predation:1766
Electrolyze:1754
Reave Soul:1754
Oblivion Stone:1744
Overgrown Battlement:1738
Claustrophobia:1736
Obstinate Baloth:1732
Blizzard Specter:1724
Pillar of Flame:1724
Wall of Roots:1723
Undercity Troll:1721
Cephalid Broker:1717
Abzan Battle Priest:1716
Abzan Falconer:1698
Mind Stone:1697
Illusory Ambusher:1691
Fog Bank:1690
Mana Leak:1689
Genesis Wave:1686
Condescend:1685
Rosheen Meanderer:1682
Aether Vial:1681
Wing Shards:1680
Bladewing the Risen:1677
Vizkopa Guildmage:1671
Aetherize:1669
Bloodghast:1667
Horizon Canopy:1662
Noxious Dragon:1661
Seeker of the Way:1657
Azorius Charm:1650
Topan Freeblade:1650
Ajani’s Pridemate:1649
Guttersnipe:1648
Orzhov Basilica:1648
Necropotence:1645
Prodigal Pyromancer:1641
Monastery Swiftspear:1639
Phantom Monster:1637
Search for Tomorrow:1637
Phyrexian Rager:1630
Frost Lynx:1624
Carven Caryatid:1621
Hunt the Weak:1621
Izzet Boilerworks:1620
Blinding Mage:1616
Amass the Components:1610
Iona’s Judgment:1605
Repeal:1602
Serra Ascendant:1601
Star Compass:1600
Kiln Fiend:1597
Simic Growth Chamber:1596
Auriok Champion:1592
Illusory Angel:1588
Day of the Dragons:1587
Jungle Barrier:1586
Rakdos Carnarium:1586
Dimir Aqueduct:1575
Golgari Rot Farm:1572
Jin-Gitaxias, Core Augur:1570
Bladewing’s Thrall:1562
Mnemonic Wall:1562
Ainok Bond-Kin:1561
Crowned Ceratok:1556
Jhessian Thief:1555
Boros Garrison:1551
Selesnya Sanctuary:1551
Grove of the Burnwillows:1547
Chronicler of Heroes:1546
Glimpse the Unthinkable:1543
Manakin:1537
Riverwheel Aerialists:1531
Guardian Idol:1525
Assault Formation:1520
Graven Cairns:1520
Mer-Ek Nightblade:1519
Stalwart Aven:1518
Netcaster Spider:1516
Angelic Accord:1514
Doomed Traveler:1514
Thrill-Kill Assassin:1514
Distortion Strike:1511
Azorius Chancery:1509
Skywise Teachings:1503
Borderland Marauder:1497
Sustainer of the Realm:1495
Furnace Whelp:1494
Sultai Flayer:1493
Ivy Elemental:1490
Darksteel Axe:1487
Gruul Turf:1486
Path of Bravery:1485
Wight of Precinct Six:1480
Dissolve:1477
Doorkeeper:1476
Evolving Wilds:1472
Keldon Halberdier:1468
Foul-Tongue Invocation:1465
Durkwood Baloth:1462
Nantuko Shaman:1462
Vent Sentinel:1461
Scion of Ugin:1460
Splatter Thug:1459
Mishra’s Bauble:1458
Child of Night:1454
Ojutai’s Breath:1454
Night of Souls’ Betrayal:1449
Greater Basilisk:1448
Butcher’s Glee:1446
Surreal Memoir:1443
Magus of the Moon:1438
Battle-Rattle Shaman:1435
Guard Duty:1429
Sandstone Oracle:1426
Enlarge:1425
Jace’s Phantasm:1425
Pristine Talisman:1424
Duskdale Wurm:1423
Elusive Spellfist:1423
Dragon Egg:1421
Flusterstorm:1421
Kolaghan Monument:1415
Balustrade Spy:1410
Dragon Bell Monk:1407
Student of Ojutai:1407
Dragon Tempest:1406
Angel of Mercy:1405
Dragonloft Idol:1395
Sanguine Bond:1394
Dead Reveler:1393
Wrench Mind:1393
Diminish:1392
Wildsize:1392
Windfall:1392
Guided Strike:1391
Survival Cache:1391
Lord of the Pit:1390
Nimbus Maze:1390
Rakdos Drake:1384
Phantom Tiger:1381
River of Tears:1381
Moonglove Extract:1380
Timberland Guide:1378
Trepanation Blade:1378
Burrenton Forge-Tender:1376
Virulent Swipe:1376
Hunting Pack:1367
Fury Charm:1364
Infantry Veteran:1360
Coordinated Assault:1356
