Glimmerpoint Stag:W:75
Glint Hawk Idol:NA:70
Necropede:NA:71
Perilous Myr:NA:74
Plated Seastrider:U:45
Copper Myr:NA:70
Rusted Relic:NA:66
Surge Node:NA:41
Vector Asp:NA:39
Memnite:NA:40
Kemba's Skyguard:W:68
Ezuri's Archers:G:42
Wing Puncture:G:41
Sky-Eel School:U:72
Grasp of Darkness:B:83
Melt Terrain:R:15
Neurok Invisimancer:U:52
Halt Order:U:47
Assault Strobe:R:31
Revoke Existence:W:70
Ghalma's Warden:W:50
Culling Dais:NA:65
Liege of the Tangle:G:55
Grindclock:NA:42
Shatter:R:74
Contagious Nim:B:60
Blight Mamba:G:64
Untamed Might:G:55
Blade-Tribe Berserkers:R:47
Iron Myr:NA:70
Glissa's Scorn:G:76
Ichor Rats:B:61
Lumengrid Drake:U:57
Shape Anew:U:15
Embersmith:R:76
Leaden Myr:NA:70
Seize the Initiative:W:43
Apostle's Blessing:W:70
Painsmith:B:67
Oxidda Daredevil:R:36
Parasitic Implant:B:74
Darkslick Drake:U:74
Necrogen Censer:NA:48
Trigon of Infestation:NA:53
Kuldotha Rebirth:R:45
Ezuri, Renegade Leader:G:54
Bloodshot Trainee:R:44
Ichorclaw Myr:NA:70
Vault Skyward:U:21
Viridian Revel:G:42
Copperhorn Scout:G:30
Dross Hopper:B:36
Melira, Sylvok Outcast:G:42
Myr Superion:NA:26
Oxidda Scrapmelter:R:85
Blackcleave Goblin:B:50
Turn Aside:U:37
Moriok Reaver:B:44
Golem Foundry:NA:37
Barrage Ogre:R:70
Ferrovore:R:43
Shrine of Piercing Vision:NA:52
Vulshok Heartstoker:R:43
Razor Hippogriff:W:77
Kuldotha Phoenix:R:82
Thrummingbird:U:50
Corpse Cur:NA:71
Carrion Call:G:57
Contagion Clasp:NA:84
Instill Infection:B:63
Steady Progress:U:42
Inexorable Tide:U:41
Abuna Acolyte:W:43
Goblin Gaveleer:R:40
Furnace Celebration:R:56
Silver Myr:NA:70
Whipflare:R:68
Gold Myr:NA:70
Tempered Steel:W:74
Trigon of Rage:NA:70
Dissipation Field:U:36
Tel-Jilad Defiance:G:55
Bonds of Quicksilver:U:41
Corrupted Harvester:B:37
Arm with AEther:U:30
Riddlesmith:U:55
Alpha Tyrranax:G:65
Wall of Tanglecord:NA:62
Necrogen Scudder:B:73
Throne of Geth:NA:51
Trigon of Corruption:NA:80
Blistergrub:B:40
Skinrender:B:88
Golem's Heart:NA:25
Trigon of Thought:NA:57
Cystbearer:G:75
Infiltration Lens:NA:45
Ratchet Bomb:NA:42
Tel-Jilad Fallen:G:62
Soliton:NA:54
Tangle Angler:G:74
Blunt the Assault:G:35
Fulgent Distraction:W:34
Vigil for the Lost:W:23
Salvage Scout:W:40
Arc Trail:R:86
Strider Harness:NA:59
Psychic Miasma:B:30
Shrine of Loyal Legions:NA:76
Precursor Golem:NA:90
Whitesun's Passage:W:10
Steel Hellkite:NA:90
Bladed Pinions:NA:54
Carnifex Demon:B:94
Glint Hawk:W:68
Golem Artisan:NA:77
Tunnel Ignus:R:31
Sylvok Lifestaff:NA:60
Scrapdiver Serpent:U:51
Tower of Calamities:NA:59
Darksteel Sentinel:NA:65
Strata Scythe:NA:75
Putrefax:G:74
Quicksilver Gargantuan:U:78
Wurmcoil Engine:NA:95
Necrotic Ooze:B:70
Genesis Wave:G:59
Mimic Vat:NA:89
Grand Architect:U:81
Loxodon Wayfarer:W:38
Mox Opal:NA:49
Auriok Sunchaser:W:50
Carapace Forger:G:48
Galvanic Blast:R:79
Lifesmith:G:43
