Angel of Sanctions:1638
Glorybringer:1590
Oketra the True:1512
Rhonas the Indomitable:1456
Gideon of the Trials:1445
Hazoret the Fervent:1404
Liliana, Death’s Majesty:1370
Archfiend of Ifnir:1346
Cast Out:1331
Curator of Mysteries:1329
Regal Caracal:1324
Glyph Keeper:1312
Cut /// Ribbons:1310
Dusk /// Dawn:1266
Vizier of Many Faces:1252
Never /// Return:1251
Vizier of the Menagerie:1243
Heart-Piercer Manticore:1220
Liliana’s Mastery:1216
Trial of Zeal:1195
Samut, Voice of Dissent:1190
Nissa, Steward of Elements:1174
Magma Spray:1157
Honored Hydra:1132
Sweltering Suns:1126
Glory-Bound Initiate:1125
Lord of the Accursed:1119
Ahn-Crop Crasher:1115
Insult /// Injury:1113
Champion of Rhonas:1096
Plague Belcher:1095
Angler Drake:1091
Cartouche of Strength:1089
Electrify:1083
Combat Celebrant:1079
Compulsory Rest:1073
Crocodile of the Crossing:1061
Gust Walker:1058
Scaled Behemoth:1055
Decimator Beetle:1050
Bone Picker:1048
Drake Haven:1042
Mouth /// Feed:1039
Channeler Initiate:1038
Deem Worthy:1031
Bontu the Glorified:1022
Trial of Solidarity:1018
Final Reward:1013
Stir the Sands:1010
Hapatra, Vizier of Poisons:1009
Start /// Finish:1005
Trial of Strength:1002
Emberhorn Minotaur:999
Prepare /// Fight:998
Baleful Ammit:997
Cartouche of Knowledge:989
Cruel Reality:989
Sandwurm Convergence:973
Prowling Serpopard:965
Trial of Ambition:962
Devoted Crop-Mate:959
Oketra’s Attendant:955
Commit /// Memory:952
Neheb, the Worthy:952
Aven Wind Guide:944
Bloodrage Brawler:944
Fan Bearer:936
Dread Wanderer:930
Temmet, Vizier of Naktamun:924
Oketra’s Monument:921
Edifice of Authority:919
Cartouche of Ambition:918
Wayward Servant:905
Lay Claim:903
Splendid Agony:896
Tah-Crop Elite:894
Kefnet the Mindful:884
Gravedigger:871
Harsh Mentor:864
Soulstinger:863
Exemplar of Strength:862
Cartouche of Zeal:861
Defiant Greatmaw:846
Enigma Drake:846
Cartouche of Solidarity:840
Labyrinth Guardian:836
Vizier of Deferment:835
Naga Vitalist:834
Pull from Tomorrow:832
Rags /// Riches:832
Khenra Charioteer:829
Hooded Brawler:828
Horror of the Broken Lands:815
Trueheart Duelist:815
Honored Crop-Captain:813
Bitterblade Warrior:812
Shefet Monitor:808
Heaven /// Earth:807
Seraph of the Suns:805
Nef-Crop Entangler:803
Greater Sandwurm:802
Ruthless Sniper:799
Cursed Minotaur:798
Rhet-Crop Spearmaster:796
Soul-Scar Mage:796
Trial of Knowledge:787
Trueheart Twins:785
Battlefield Scavenger:784
Aven Initiate:782
Wasteland Scorpion:778
Impeccable Timing:774
Essence Scatter:773
Open into Wonder:769
Unwavering Initiate:767
Warfire Javelineer:765
Manticore of the Gauntlet:762
Binding Mummy:760
Approach of the Second Sun:758
Ahn-Crop Champion:757
Synchronized Strike:756
Winged Shepherd:747
Ornery Kudu:742
Cryptic Serpent:741
Shimmerscale Drake:739
Hieroglyphic Illumination:737
Censor:733
Illusory Wrappings:731
Watchful Naga:731
Vizier of Tumbling Sands:724
Minotaur Sureshot:720
Rhonas’s Monument:719
Galestrike:718
Merciless Javelineer:718
Bounty of the Luxa:712
Aven Mindcensor:708
Naga Oracle:705
Thresher Lizard:692
Quarry Hauler:689
Irrigated Farmland:688
Pathmaker Initiate:681
Shadowstorm Vizier:678
Grim Strider:676
Flameblade Adept:674
Sheltered Thicket:672
Destined /// Lead:668
Wander in Death:668
Weaver of Currents:663
Blighted Bat:651
Nest of Scarabs:648
Oracle’s Vault:646
Canyon Slough:643
Evolving Wilds:640
Colossapede:638
Sacred Cat:637
Doomed Dissenter:635
Fetid Pools:628
Festering Mummy:616
Onward /// Victory:615
Throne of the God-Pharaoh:613
Anointed Procession:608
Gift of Paradise:602
Anointer Priest:599
Consuming Fervor:595
Limits of Solidarity:594
Spring /// Mind:593
Desert Cerodon:592
Sparring Mummy:592
River Serpent:584
Seeker of Insight:582
Shed Weakness:582
Gideon’s Intervention:580
Slither Blade:580
Tah-Crop Skirmisher:580
Initiate’s Companion:570
Pitiless Vizier:567
Scattered Groves:563
Supernatural Stamina:563
Vizier of Remedies:563
Hekma Sentinels:562
Bloodlust Inciter:559
Pouncing Cheetah:559
Winds of Rebuke:550
Cancel:540
Painful Lesson:536
Mighty Leap:535
Pyramid of the Pantheon:535
Reduce /// Rubble:533
Brute Strength:530
Floodwaters:530
Faith of the Devoted:529
Manglehorn:529
Miasmic Mummy:522
Fling:519
Oashra Cultivator:512
In Oketra’s Name:510
Forsake the Worldly:506
Supply Caravan:505
Time to Reflect:505
Decision Paralysis:504
Giant Spider:504
Hapatra’s Mark:500
Nimble-Blade Khenra:499
Harvest Season:497
Failure /// Comply:496
Zenith Seeker:494
Those Who Serve:491
Bontu’s Monument:488
As Foretold:487
Tormenting Voice:487
Hazoret’s Monument:485
New Perspectives:484
Pursue Glory:478
Unburden:476
Djeru’s Resolve:469
Spidery Grasp:468
Kefnet’s Monument:466
Lay Bare the Heart:464
Scribe of the Mindful:463
Honed Khopesh:450
Stinging Shot:443
Trespasser’s Curse:431
Blazing Volley:430
Watchers of the Dead:415
Sixth Sense:413
Dune Beetle:386
Cradle of the Accursed:382
Glorious End:380
Sacred Excavation:379
Grasping Dunes:372
Shadow of the Grave:370
Cascading Cataracts:357
Hyena Pack:356
Benefaction of Rhonas:354
Dissenter’s Deliverance:353
Painted Bluffs:348
Renewed Faith:337
Hazoret’s Favor:305
Violent Impact:284
Haze of Pollen:277
Scarab Feast:268
Compelling Argument:265
Embalmer’s Tools:260
Luxa River Shrine:213
By Force:201
Ancient Crab:198
Sunscorched Desert:186
Dispossess:109
Protection of the Hekma:108
Gate to the Afterlife	95
