The Scarab God:2272
Angel of Condemnation:2079
The Locust God:2077
The Scorpion God:2048
Pride Sovereign:2046
Crested Sunmare:1996
Nicol Bolas, God-Pharaoh:1965
Majestic Myriarch:1915
Neheb, the Eternal:1906
Hour of Devastation:1901
Adorned Pouncer:1889
Ammit Eternal:1881
Samut, the Tested:1874
Razaketh, the Foulblooded:1856
Grind // Dust:1855
Resilient Khenra:1832
Sand Strangler:1822
Ramunap Hydra:1818
Abrade:1816
Desert’s Hold:1813
Champion of Wits:1810
Bontu’s Last Reckoning:1807
Nimble Obstructionist:1796
Chaos Maw:1788
Sifter Wurm:1783
Unesh, Criosphinx Sovereign:1776
Hour of Glory:1771
River Hoopoe:1769
Ominous Sphinx:1754
Torment of Hailfire:1754
Open Fire:1751
Torment of Venom:1743
Dreamstealer:1740
Struggle // Survive:1737
Burning-Fist Minotaur:1734
Ambuscade:1732
God-Pharaoh’s Gift:1731
Accursed Horde:1729
Doomfall:1727
Earthshaker Khenra:1716
Aerial Guide:1711
Khenra Scrapper:1709
Oketra’s Avenger:1691
Bloodwater Entity:1689
Rhonas’s Last Stand:1686
Angel of the God-Pharaoh:1685
Tenacious Hunter:1685
Hour of Promise:1684
Eternal of Harsh Truths:1680
Fervent Paincaster:1677
Lethal Sting:1673
Vizier of the Anointed:1673
Wildfire Eternal:1671
Puncturing Blow:1668
Sandblast:1668
Sunscourge Champion:1661
Spellweaver Eternal:1656
Vizier of the True:1656
Banewhip Punisher:1652
Kefnet’s Last Word:1652
Merciless Eternal:1648
Vile Manifestation:1647
Bitterbow Sharpshooters:1646
Driven // Despair:1643
Supreme Will:1638
Hour of Revelation:1637
Torment of Scarabs:1637
Oasis Ritualist:1636
Farm // Market:1628
Unraveling Mummy:1628
Obelisk Spider:1617
Mirage Mirror:1615
Manticore Eternal:1613
Resolute Survivors:1610
Ruin Rat:1610
Overwhelming Splendor:1608
Unconventional Tactics:1608
Hour of Eternity:1606
Devotee of Strength:1605
Sinuous Striker:1604
Sunset Pyramid:1602
Riddleform:1600
Solitary Camel:1600
Harrier Naga:1598
Steward of Solidarity:1597
Sidewinder Naga:1595
Dauntless Aven:1591
Feral Prowler:1591
Thorned Moloch:1586
Striped Riverwinder:1584
Frontline Devastator:1580
Appeal // Authority:1578
Aven of Enduring Hope:1577
Mummy Paramount:1571
Uncage the Menagerie:1570
Consign // Oblivion:1564
Hollow One:1561
Aven Reedstalker:1560
Rhonas’s Stalwart:1559
Unsummon:1557
Desert of the Glorified:1556
Manalith:1555
Hope Tender:1551
Granitic Titan:1550
Ifnir Deadlands:1550
Blur of Blades:1547
Marauding Boneslasher:1547
Shefet Dunes:1547
Claim // Fame:1545
Magmaroth:1545
Beneath the Sands:1543
Ramunap Excavator:1542
Desert of the Mindful:1541
Khenra Eternal:1541
Reason // Believe:1541
Rampaging Hippo:1540
Unquenchable Thirst:1539
Razaketh’s Rite:1537
Saving Grace:1532
Steadfast Sentinel:1531
Wall of Forgotten Pharaohs:1531
Imminent Doom:1530
Defiant Khenra:1526
Cunning Survivor:1525
Ramunap Ruins:1525
Hashep Oasis:1524
Overcome:1523
Abandoned Sarcophagus:1514
Carrion Screecher:1514
Firebrand Archer:1510
Frilled Sandwalla:1507
Hazoret’s Undying Fury:1505
Inferno Jet:1499
Crypt of the Eternals:1496
Gift of Strength:1495
Kindled Fury:1493
Ipnu Rivulet:1492
Act of Heroism:1491
Without Weakness:1489
Desert of the Indomitable:1487
Fraying Sanity:1485
Hostile Desert:1484
Traveler’s Amulet:1482
God-Pharaoh’s Faithful:1477
Desert of the Fervent:1476
Apocalypse Demon:1474
Wretched Camel:1472
Dagger of the Worthy:1468
Refuse // Cooperate:1468
Quarry Beetle:1464
Countervailing Winds:1460
Gilded Cerodon:1455
Djeru, With Eyes Open:1450
Strategic Planning:1450
Tragic Lesson:1449
Scrounger of Souls:1447
Dune Diviner:1438
Desert of the True:1436
Chandra’s Defeat:1433
Proven Combatant:1430
Survivors’ Encampment:1427
Djeru’s Renunciation:1425
Disposal Mummy:1422
Imaginary Threats:1418
Moaning Wall:1416
Dutiful Servants:1403
Oketra’s Last Mercy:1403
Crash Through:1400
Lurching Rotbeast:1397
Swarm Intelligence:1397
Life Goes On:1395
Grisly Survivor:1388
Dunes of the Dead:1381
Jace’s Defeat:1369
Endless Sands:1367
Seer of the Last Tomorrow:1360
Graven Abomination:1352
Gideon’s Defeat:1346
Liliana’s Defeat:1345
Leave // Chance:1324
Solemnity:1265
Scavenger Grounds:1256
Crook of Condemnation:1228
Nissa’s Defeat:1185
