Vraska, Relic Seeker:2381
Hostage Taker:2336
Carnage Tyrant:2332
Regisaur Alpha:2276
Ripjaw Raptor:2228
Captivating Crew:2225
Vraska’s Contempt:2214
Vona, Butcher of Magan:2192
Huatli, Warrior Poet:2173
Repeating Barrage:2144
Charging Monstrosaur:2133
Lightning Strike:2122
Walk the Plank:2096
Ixalan’s Binding:2083
Burning Sun’s Avatar:2068
Mavren Fein, Dusk Apostle:2061
Settle the Wreckage:2057
Waker of the Wilds:2033
Kinjalli’s Sunwing:2032
Sanctum Seeker:2003
Rampaging Ferocidon:2000
Legion’s Landing:1999
Territorial Hammerskull:1990
Dreamcaller Siren:1983
Bishop of Rebirth:1975
Vanquish the Weak:1969
River’s Rebuke:1967
Fathom Fleet Captain:1950
Imperial Aerosaur:1939
Drover of the Mighty:1932
Deathgorge Scavenger:1917
Snapping Sailback:1916
Shapers of Nature:1913
Entrancing Melody:1911
Contract Killing:1910
Adanto Vanguard:1901
Air Elemental:1901
Dire Fleet Ravager:1889
Merfolk Branchwalker:1889
Jace, Cunning Castaway:1881
Savage Stomp:1878
Kitesail Freebooter:1877
Raging Swordtooth:1858
Ruin Raider:1856
Vance’s Blasting Cannons:1854
Unfriendly Fire:1844
Captain Lannery Storm:1843
Pious Interdiction:1842
Firecannon Blast:1837
Ranging Raptors:1835
Treasure Map:1832
Sky Terror:1824
Vanquisher’s Banner:1823
Watertrap Weaver:1811
Pirate’s Cutlass:1806
Emperor’s Vanguard:1805
Storm Fleet Aerialist:1805
Tempest Caller:1798
Daring Saboteur:1795
Search for Azcanta:1794
Rowdy Crew:1793
Seekers’ Squire:1777
Skulduggery:1773
Glorifier of Dusk:1757
Siren Lookout:1757
One With the Wind:1754
Admiral Beckett Brass:1752
Bishop of the Bloodstained:1752
Wanted Scoundrels:1750
Pounce:1748
Jade Guardian:1740
Vineshaper Mystic:1740
Skymarch Bloodletter:1739
Gishath, Sun’s Avatar:1733
Call to the Feast:1730
Paladin of the Bloodstained:1729
Emissary of Sunrise:1725
Otepec Huntmaster:1719
Thundering Spineback:1710
Tishana’s Wayfinder:1707
Fiery Cannonade:1697
Verdant Sun’s Avatar:1692
Dark Nourishment:1682
Deadeye Tracker:1679
Siren Stormtamer:1679
Chart a Course:1674
Dire Fleet Captain:1673
Inspiring Cleric:1671
Bishop’s Soldier:1669
Deathless Ancient:1669
Deeproot Warrior:1669
Tilonalli’s Knight:1669
Deadeye Plunderers:1664
Conqueror’s Galleon:1657
Bright Reprisal:1654
Shining Aerosaur:1654
Raptor Hatchling:1653
Wakening Sun’s Avatar:1651
Fell Flagship:1649
Herald of Secret Streams:1645
