11:53:00.637 [main] INFO  com.xmage.ws.aspect.RequestAspect - ip: null, user-agent: null
11:53:00.827 [main] INFO  com.j256.ormlite.table.TableUtils - creating table 'logs'
11:53:06.126 [main] INFO  com.j256.ormlite.table.TableUtils - executed create table statement changed 0 rows: CREATE TABLE IF NOT EXISTS `logs` (`key` VARCHAR(255) , `created_dt` TIMESTAMP , `arg0` VARCHAR(255) , `arg1` VARCHAR(255) , `arg2` VARCHAR(255) , `arg3` VARCHAR(255) , `arg4` VARCHAR(255) , `arg5` VARCHAR(255) ) 
11:53:06.136 [main] INFO  com.j256.ormlite.table.TableUtils - creating table 'feedbacks'
11:53:10.236 [main] INFO  com.j256.ormlite.table.TableUtils - executed create table statement changed 0 rows: CREATE TABLE IF NOT EXISTS `feedbacks` (`username` VARCHAR(255) , `title` VARCHAR(255) , `type` VARCHAR(255) , `message` VARCHAR(255) , `email` VARCHAR(255) , `host` VARCHAR(255) , `created_dt` TIMESTAMP , `status` VARCHAR(255) ) 
11:53:10.316 [main] INFO  c.x.c.e.r.i.XMageStatsRepositoryImpl - logs found count: 2
11:53:10.456 [main] INFO  c.x.w.r.s.base.AbstractService - responseWithError time: 130ms
11:06:56.187 [main] INFO  com.xmage.ws.aspect.RequestAspect - ip: null, user-agent: null
11:06:56.430 [main] INFO  com.j256.ormlite.table.TableUtils - creating table 'logs'
11:06:57.287 [main] INFO  com.j256.ormlite.table.TableUtils - executed create table statement changed 0 rows: CREATE TABLE IF NOT EXISTS `logs` (`key` VARCHAR(255) , `created_dt` TIMESTAMP , `arg0` VARCHAR(255) , `arg1` VARCHAR(255) , `arg2` VARCHAR(255) , `arg3` VARCHAR(255) , `arg4` VARCHAR(255) , `arg5` VARCHAR(255) ) 
11:06:57.327 [main] INFO  com.j256.ormlite.table.TableUtils - creating table 'feedbacks'
11:06:57.385 [main] INFO  com.j256.ormlite.table.TableUtils - executed create table statement changed 0 rows: CREATE TABLE IF NOT EXISTS `feedbacks` (`username` VARCHAR(255) , `title` VARCHAR(255) , `type` VARCHAR(255) , `message` VARCHAR(255) , `email` VARCHAR(255) , `host` VARCHAR(255) , `created_dt` TIMESTAMP , `status` VARCHAR(255) ) 
11:06:57.405 [main] INFO  c.x.c.e.r.i.XMageStatsRepositoryImpl - logs found count: 0
11:06:57.605 [main] INFO  c.x.w.r.s.base.AbstractService - responseWithError time: 200ms
11:24:56.118 [main] INFO  com.xmage.ws.aspect.RequestAspect - ip: null, user-agent: null
11:24:56.328 [main] INFO  com.j256.ormlite.table.TableUtils - creating table 'logs'
11:24:56.736 [main] INFO  com.j256.ormlite.table.TableUtils - executed create table statement changed 0 rows: CREATE TABLE IF NOT EXISTS `logs` (`key` VARCHAR(255) , `created_dt` TIMESTAMP , `arg0` VARCHAR(255) , `arg1` VARCHAR(255) , `arg2` VARCHAR(255) , `arg3` VARCHAR(255) , `arg4` VARCHAR(255) , `arg5` VARCHAR(255) ) 
11:24:56.746 [main] INFO  com.j256.ormlite.table.TableUtils - creating table 'feedbacks'
11:24:56.834 [main] INFO  com.j256.ormlite.table.TableUtils - executed create table statement changed 0 rows: CREATE TABLE IF NOT EXISTS `feedbacks` (`username` VARCHAR(255) , `title` VARCHAR(255) , `type` VARCHAR(255) , `message` VARCHAR(255) , `email` VARCHAR(255) , `host` VARCHAR(255) , `created_dt` TIMESTAMP , `status` VARCHAR(255) ) 
11:24:56.864 [main] INFO  c.x.c.e.r.i.XMageStatsRepositoryImpl - logs found count: 0
11:24:57.094 [main] INFO  c.x.w.r.s.base.AbstractService - responseWithError time: 210ms
11:08:52.680 [main] INFO  com.xmage.ws.aspect.RequestAspect - ip: null, user-agent: null
11:08:52.920 [main] INFO  com.j256.ormlite.table.TableUtils - creating table 'logs'
11:08:57.818 [main] INFO  com.j256.ormlite.table.TableUtils - executed create table statement changed 0 rows: CREATE TABLE IF NOT EXISTS `logs` (`key` VARCHAR(255) , `created_dt` TIMESTAMP , `arg0` VARCHAR(255) , `arg1` VARCHAR(255) , `arg2` VARCHAR(255) , `arg3` VARCHAR(255) , `arg4` VARCHAR(255) , `arg5` VARCHAR(255) ) 
11:08:57.838 [main] INFO  com.j256.ormlite.table.TableUtils - creating table 'feedbacks'
11:09:01.956 [main] INFO  com.j256.ormlite.table.TableUtils - executed create table statement changed 0 rows: CREATE TABLE IF NOT EXISTS `feedbacks` (`username` VARCHAR(255) , `title` VARCHAR(255) , `type` VARCHAR(255) , `message` VARCHAR(255) , `email` VARCHAR(255) , `host` VARCHAR(255) , `created_dt` TIMESTAMP , `status` VARCHAR(255) ) 
11:09:02.036 [main] INFO  c.x.c.e.r.i.XMageStatsRepositoryImpl - logs found count: 16
11:09:02.156 [main] INFO  c.x.w.r.s.base.AbstractService - responseWithError time: 120ms
