Resplendent Angel:2323
Tezzeret, Artifice Master:2297
Ajani, Adversary of Tyrants:2268
Vivien Reid:2257
Nicol Bolas, the Ravager:2210
Bone Dragon:2163
Demanding Dragon:2122
Murder:2118
Banefire:2116
Lathliss, Dragon Queen:2111
Djinn of Wishes:2092
Isareth the Awakener:2083
Demon of Catastrophes:2078
Leonin Warleader:2036
Hieromancer's Cage:2031
Lightning Strike:2030
Goreclaw, Terror of Qal Sisma:1990
Angel of the Dawn:1965
Vine Mare:1962
Cleansing Nova:1957
Luminous Bonds:1957
Hungering Hydra:1956
Pelakka Wurm:1948
Palladia-Mors, the Ruiner:1940
Thorn Lieutenant:1931
Rabid Bite:1929
Dismissive Pyromancer:1919
Lena, Selfless Champion:1914
Herald of Faith:1911
Sigiled Sword of Valeron:1906
Vaevictis Asmadi, the Dire:1898
Lich's Caress:1895
Graveyard Marshal:1885
Pegasus Courser:1878
Chromium, the Mutable:1875
Volcanic Dragon:1869
Mentor of the Meek:1866
Vampire Sovereign:1860
Valiant Knight:1855
Poison-Tip Archer:1851
Spit Flame:1851
Windreader Sphinx:1846
Death Baron:1844
Skyrider Patrol:1844
Shock:1841
Regal Bloodlord:1840
Ajani's Pridemate:1836
Psychic Symbiont:1833
Liliana, Untouched by Death:1825
Exclusion Mage:1824
Star-Crowned Stag:1823
Sleep:1817
Heroic Reinforcements:1805
Patient Rebuilding:1804
Druid of the Cowl:1790
Horizon Scholar:1784
Skymarch Bloodletter:1777
Sarkhan, Fireblood:1776
Runic Armasaur:1774
Prodigious Growth:1773
Take Vengeance:1772
Aven Wind Mage:1770
Dryad Greenseeker:1761
Electrify:1751
Sarkhan's Unsealing:1743
Plague Mare:1739
Gallant Cavalry:1736
Mystic Archaeologist:1724
Draconic Disciple:1723
Essence Scatter:1723
Vigilant Baloth:1719
Skeleton Archer:1717
Arcades, the Strategist:1715
Militia Bugler:1715
Departed Deckhand:1713
Fell Specter:1708
Strangling Spores:1703
Bristling Boar:1699
Snapping Drake:1693
Enigma Drake:1692
Knightly Valor:1692
Gravedigger:1690
Sai, Master Thopterist:1688
Aviation Pioneer:1685
Skyscanner:1683
Shield Mare:1680
Meteor Golem:1674
Sparktongue Dragon:1673
Brawl-Bash Ogre:1667
Remorseful Cleric:1666
Sift:1663
Fiery Finish:1654
Transmogrifying Wand:1653
Aerial Engineer:1649
Cavalry Drillmaster:1648
Ghastbark Twins:1645
Reclamation Sage:1640
Ajani's Last Stand:1637
Metamorphic Alteration:1634
Mirror Image:1633
Omenspeaker:1633
Vivien's Invocation:1633
Dark-Dweller Oracle:1630
Boggart Brute:1628
Dwindle:1625
Goblin Trashmaster:1625
Make a Stand:1624
Liliana's Contract:1623
Giant Spider:1622
Open the Graves:1621
Colossal Dreadmaw:1616
Divination:1615
Goblin Instigator:1614
Supreme Phantom:1613
Chaos Wand:1605
Rhox Oracle:1603
Elvish Rejuvenator:1602
Skilled Animator:1600
Leonin Vanguard:1597
Declare Dominance:1596
Reassembling Skeleton:1595
Daggerback Basilisk:1591
Bone to Ash:1585
Rise from the Grave:1585
Gift of Paradise:1582
Titanic Growth:1582
Arcane Encyclopedia:1581
Switcheroo:1581
Doomed Dissenter:1579
Gigantosaurus:1579
Siegebreaker Giant:1577
Child of Night:1575
Surge Mare:1575
Cancel:1561
Volley Veteran:1560
Epicure of Blood:1559
Vampire Neonate:1555
Guttersnipe:1554
Aethershield Artificer:1553
Rogue's Gloves:1553
Macabre Waltz:1550
Hired Blade:1548
Salvager of Secrets:1545
Diamond Mare:1543
Blood Divination:1542
Nightmare's Thirst:1542
Gargoyle Sentinel:1539
Act of Treason:1538
Lightning Mare:1534
Abnormal Endurance:1531
Inspired Charge:1531
Gearsmith Guardian:1527
Dragon Egg:1521
Anticipate:1519
Viashino Pyromancer:1519
Rustwing Falcon:1514
Two-Headed Zombie:1513
Blanchwood Armor:1511
Hostile Minotaur:1510
Druid of Horns:1508
Marauder's Axe:1508
Diregraf Ghoul:1507
Havoc Devils:1506
Satyr Enchanter:1505
Centaur Courser:1502
Plummet:1497
Disperse:1494
Sure Strike:1494
Inferno Hellion:1491
Novice Knight:1491
Oakenform:1483
Knight of the Tusk:1482
Fountain of Renewal:1477
Ravenous Harpy:1474
Knight's Pledge:1469
Thornhide Wolves:1463
Dragon's Hoard:1461
Daybreak Chaplain:1459
Ghirapur Guide:1457
Greenwood Sentinel:1456
Recollect:1455
Goblin Motivator:1452
Talons of Wildwood:1449
Colossal Majesty:1447
Gearsmith Prodigy:1441
Scholar of Stars:1439
Ajani's Welcome:1433
Mighty Leap:1432
Naturalize:1431
Trusty Packbeast:1431
Dwarven Priest:1426
Uncomfortable Chill:1423
Oreskos Swiftclaw:1422
Psychic Corrosion:1421
Loxodon Line Breaker:1419
Aether Tunnel:1404
Frilled Sea Serpent:1403
Infernal Scarring:1403
Phylactery Lich:1398
Mind Rot:1396
Explosive Apparatus:1395
Amulet of Safekeeping:1390
Duress:1390
Magistrate's Scepter:1388
