Rekindling Phoenix:2418
Tetzimoc, Primal Death:2401
Ravenous Chupacabra:2290
Twilight Prophet:2282
Etali, Primal Storm:2192
Angrath, the Flame-Chained:2180
The Immortal Sun:2168
Profane Procession:2155
Jadelight Ranger:2143
Ghalta, Primal Hunger:2131
Tendershoot Dryad:2121
Bishop of Binding:2103
Kumena, Tyrant of Orazca:2098
Dire Fleet Poisoner:2094
Trapjaw Tyrant:2087
Bombard:2052
Moment of Craving:2039
Huatli, Radiant Champion:2029
Hadana’s Climb:2019
Reaver Ambush:2001
Warkite Marauder:2001
Champion of Dusk:2000
Baffling End:1990
Luminous Bonds:1970
Impale:1966
Golden Demise:1946
Journey to Eternity:1941
Crested Herdcaller:1936
Azor, the Lawbringer:1914
Thrashing Brontodon:1908
Raging Regisaur:1902
Zacama, Primal Calamity:1901
Legion Lieutenant:1898
Deeproot Elite:1893
Sadistic Skymarcher:1893
Needletooth Raptor:1889
Elenda, the Dusk Rose:1888
Dire Fleet Daredevil:1883
Merfolk Mistbinder:1881
Hunt the Weak:1839
Forerunner of the Legion:1828
Zetalpa, Primal Dawn:1820
Golden Guardian:1819
Radiant Destiny:1816
Vona’s Hunger:1798
Polyraptor:1793
Tilonalli’s Summoner:1792
Swift Warden:1774
Slaughter the Strong:1767
Protean Raider:1764
Waterknot:1762
Seafloor Oracle:1761
Forerunner of the Empire:1760
Divine Verdict:1759
Reckless Rage:1758
Dusk Legion Zealot:1755
Squire’s Devotion:1754
Temple Altisaur:1753
Forerunner of the Heralds:1749
Deadeye Brawler:1748
Nezahal, Primal Tide:1742
Captain’s Hook:1722
Curious Obsession:1720
Charging Tuskodon:1717
Azor’s Gateway:1706
Dire Fleet Neckbreaker:1703
Wayward Swordtooth:1699
Resplendent Griffin:1698
Jungle Creeper:1693
Siegehorn Ceratops:1690
Kitesail Corsair:1689
Martyr of Dusk:1689
Exultant Skymarcher:1686
Sailor of Means:1683
Silvergill Adept:1680
Atzocan Seer:1675
Jungleborn Pioneer:1674
Path of Discovery:1669
Skymarcher Aspirant:1667
Siren Reaver:1661
Paladin of Atonement:1655
Forerunner of the Coalition:1652
Mutiny:1648
Storm Fleet Sprinter:1638
Relentless Raptor:1634
Everdawn Champion:1625
Goblin Trailblazer:1622
Storm Fleet Swashbuckler:1606
Spire Winder:1600
Strength of the Pack:1594
Secrets of the Golden City:1593
Mausoleum Harpy:1586
Slippery Scoundrel:1585
Colossal Dreadmaw:1584
Knight of the Stampede:1584
Dusk Charger:1579
Expel from Orazca:1578
Oathsworn Vampire:1578
Overgrown Armasaur:1576
Daring Buccaneer:1562
Deadeye Rig-Hauler:1557
Sun-Crested Pterodon:1557
Soul of the Rapids:1549
Cherished Hatchling:1547
Crashing Tide:1538
Recover:1538
Arch of Orazca:1537
Majestic Heliopterus:1531
Sanguine Glorifier:1525
Form of the Dinosaur:1523
Pride of Conquerors:1523
Famished Paladin:1516
Moment of Triumph:1515
Silverclad Ferocidons:1511
Frilled Deathspitter:1509
Kumena’s Awakening:1505
Snubhorn Sentry:1504
Voracious Vampire:1504
Fathom Fleet Boarder:1501
Buccaneer’s Bravado:1492
Thunderherd Migration:1487
Legion Conquistador:1483
See Red:1481
Riverwise Augur:1478
Cacophodon:1477
Tomb Robber:1475
Giltgrove Stalker:1472
Swaggering Corsair:1472
Evolving Wilds:1463
Dinosaur Hunter:1461
World Shaper:1452
Path of Mettle:1447
Hardy Veteran:1446
Mist-Cloaked Herald:1443
Fanatical Firebrand:1442
Jadecraft Artisan:1440
Stampeding Horncrest:1439
Admiral’s Order:1436
Timestream Navigator:1433
Brazen Freebooter:1427
Imperial Ceratops:1415
Aggressive Urge:1413
Traveler’s Amulet:1412
Grasping Scoundrel:1403
Jade Bearer:1384
Aquatic Incursion:1375
Shake the Foundations:1374
Vampire Revenant:1368
Orazca Raptor:1363
Sun Sentinel:1362
Hornswoggle:1350
Mastermind’s Acquisition:1344
Raptor Companion:1340
Sea Legs:1332
Sun-Collared Raptor:1322
Tilonalli’s Crown:1318
Gleaming Barrier:1307
Enter the Unknown:1301
Storm the Vault:1297
Crafty Cutpurse:1291
Pitiless Plunderer:1288
Forsaken Sanctuary:1281
Pirate’s Pillage:1274
Arterial Flow:1255
Woodland Stream:1246
Orazca Frillback:1244
Dead Man’s Chest:1233
River Darter:1233
Naturalize:1224
Cleansing Ray:1203
Highland Lake:1199
Strider Harness:1198
Negate:1195
Stone Quarry:1192
Dark Inquiry:1187
Release to the Wind:1165
Plummet:1160
Foul Orchard:1146
Orazca Relic:1123
Flood of Recollection:1121
Canal Monitor:1094
Blazing Hope:1069
Brass’s Bounty:1064
Sworn Guardian:1060
Blood Sun:1059
Gruesome Fate:1036
Awakened Amalgam:1017
Induced Amnesia:1003
Silent Gravestone:968
Sphinx’s Decree:961
Shatter:907
