Bitterblossom:1000
Mana Vault:986
Liliana of the Veil:974
Karn Liberated:964
Mikaeus, the Unhallowed:954
Sublime Archangel:945
Sigarda, Host of Herons:937
Noble Hierarch:929
Shriekmaw:922
Snapcaster Mage:915
Glen Elendra Archmage:908
Balefire Dragon:902
Vengevine:896
Demonic Tutor:891
Maelstrom Pulse:885
Celestial Colonnade:880
Tasigur, the Golden Fang:875
Reveillark:870
Lord of Extinction:865
Eternal Witness:861
Tarmogoyf:856
Woodfall Primus:852
Eldrazi Conscription:848
Kitchen Finks:843
Temporal Manipulation:839
Fiend Hunter:836
Dig Through Time:832
Talrand, Sky Summoner:828
Chainer's Edict:824
Faith's Fetters:821
Creeping Tar Pit:817
Fire // Ice:814
Raging Ravine:810
Reanimate:807
Platinum Emperion:804
Moan of the Unhallowed:801
Fauna Shaman:797
Sovereigns of Lost Alara:794
Ancient Tomb:791
Spider Spawning:788
Kozilek, Butcher of Truth:785
Urban Evolution:782
Young Pyromancer:779
Angel of Despair:776
Last Gasp:774
Rolling Temblor:771
All Is Dust:768
Devoted Druid:765
Fiery Temper:763
Murderous Redcap:760
Leovold, Emissary of Trest:757
Wall of Reverence:755
Golgari Grave-Troll:752
Unburial Rites:749
Mahamoti Djinn:747
Ulamog, the Infinite Gyre:744
Stirring Wildwood:742
Swift Reckoning:739
Pattern of Rebirth:737
Dimir Guildmage:735
Warleader's Helix:732
Thermo-Alchemist:730
Penumbra Wurm:727
Unholy Hunger:725
Through the Breach:723
Gurmag Angler:720
Emancipation Angel:718
Sleight of Hand:716
Wild Mongrel:713
Boar Umbra:711
Reckless Wurm:709
Kodama's Reach:707
Magmaw:705
Phalanx Leader:702
Vengeful Rebirth:700
Emrakul, the Aeons Torn:698
Daybreak Coronet:696
Treasure Cruise:694
Rise from the Tides:691
Firewing Phoenix:689
Travel Preparations:687
Satyr Wayfinder:685
Engineered Explosives:683
Entomb:681
Hero of Iroas:679
Reya Dawnbringer:677
Soul's Fire:675
Become Immense:673
Containment Priest:670
Archaeomancer:668
Slum Reaper:666
Forbidden Alchemy:664
Stingerfling Spider:662
Anger:660
