Tenth Edition|10E|TenthEdition|
Unlimited Edition|2ED|UnlimitedEdition|
Revised Edition|3ED|RevisedEdition|
Fourth Edition|4ED|FourthEdition|
Fifth Dawn|5DN|FifthDawn|
Fifth Edition|5ED|FifthEdition|
Classic Sixth Edition|6ED|ClassicSixthEdition|
Seventh Edition|7ED|SeventhEdition|
Eighth Edition|8ED|EighthEdition|
Ninth Edition|9ED|NinthEdition|
Alchemy: Dominaria|YDMU|AlchemyDominaria|
Alchemy: Innistrad|Y22|AlchemyInnistrad|
Adventures in the Forgotten Realms|AFR|AdventuresInTheForgottenRealms|
Forgotten Realms Commander|AFC|ForgottenRealmsCommander|
Aetherdrift|DFT|Aetherdrift|
Aetherdrift Commander|DRC|AetherdriftCommander|
Aether Revolt|AER|AetherRevolt|
Amonkhet|AKH|Amonkhet|
Shards of Alara|ALA|ShardsOfAlara|
Alliances|ALL|Alliances|
Arena Beginner Set|ANB|ArenaBeginnerSet|
Asia Pacific Land Program|APAC|AsiaPacificLandProgram|
Apocalypse|APC|Apocalypse|
Alara Reborn|ARB|AlaraReborn|
Archenemy|ARC|Archenemy|
Arena League|ARENA|ArenaLeague|
Arabian Nights|ARN|ArabianNights|
Anthologies|ATH|Anthologies|
Antiquities|ATQ|Antiquities|
Assassin's Creed|ACR|AssassinsCreed|
Avacyn Restored|AVR|AvacynRestored|
Avatar: The Last Airbender|TLA|AvatarTheLastAirbender|
Avatar: The Last Airbender Eternal|TLE|AvatarTheLastAirbenderEternal|
Battle for Zendikar|BFZ|BattleForZendikar|
Battlebond|BBD|Battlebond|
Born of the Gods|BNG|BornOfTheGods|
Betrayers of Kamigawa|BOK|BetrayersOfKamigawa|
Battle Royale Box Set|BRB|BattleRoyaleBoxSet|
Beatdown Box Set|BTD|BeatdownBoxSet|
Bloomburrow|BLB|Bloomburrow|
Bloomburrow Commander|BLC|BloomburrowCommander|
Commander 2013|C13|Commander2013Edition|
Commander 2014|C14|Commander2014Edition|
Commander 2015|C15|Commander2015Edition|
Commander 2016|C16|Commander2016Edition|
Commander 2017|C17|Commander2017Edition|
Commander 2018|C18|Commander2018Edition|
Commander 2019|C19|Commander2019Edition|
Commander 2020|C20|Commander2020Edition|
Commander 2021|C21|Commander2021Edition|
Commander Legends|CMR|CommanderLegends|
Commander Legends: Battle for Baldur's Gate|CLB|CommanderLegendsBattleForBaldursGate|
Champions of Kamigawa|CHK|ChampionsOfKamigawa|
Chronicles|CHR|Chronicles|
Clash Pack|CLASH|ClashPack|
Commander Anthology|CMA|CommanderAnthology|
Commander Anthology 2018|CM2|CommanderAnthology2018|
Commander's Arsenal|CM1|CommandersArsenal|
Commander Masters|CMM|CommanderMasters|
Magic: The Gathering-Commander|CMD|Commander|
Magic: The Gathering-Conspiracy|CNS|Conspiracy|
Conspiracy: Take the Crown|CN2|ConspiracyTakeTheCrown|
Conflux|CON|Conflux|
Coldsnap|CSP|Coldsnap|
Doctor Who|WHO|DoctorWho|
Duel Decks: Jace vs. Chandra|DD2|DuelDecksJaceVsChandra|
Duel Decks Anthology: Divine vs. Demonic|DVD|DuelDecksAnthologyDivineVsDemonic|
Duel Decks Anthology: Elves vs. Goblins|EVG|DuelDecksAnthologyElvesVsGoblins|
Duel Decks Anthology: Garruk vs. Liliana|GVL|DuelDecksAnthologyGarrukVsLiliana|
Duel Decks Anthology: Jace vs. Chandra|JVC|DuelDecksAnthologyJaceVsChandra|
Duel Decks: Divine vs. Demonic|DDC|DuelDecksDivineVsDemonic|
Duel Decks: Garruk vs. Liliana|DDD|DuelDecksGarrukVsLiliana|
Duel Decks: Phyrexia vs. the Coalition|DDE|DuelDecksPhyrexiaVsTheCoalition|
Duel Decks: Elspeth vs. Tezzeret|DDF|DuelDecksElspethVsTezzeret|
Duel Decks: Knights vs. Dragons|DDG|DuelDecksKnightsVsDragons|
Duel Decks: Ajani vs. Nicol Bolas|DDH|DuelDecksAjaniVsNicolBolas|
Duel Decks: Venser vs. Koth|DDI|DuelDecksVenserVsKoth|
Duel Decks: Izzet vs. Golgari|DDJ|DuelDecksIzzetVsGolgari|
Duel Decks: Sorin vs. Tibalt|DDK|DuelDecksSorinVsTibalt|
Duel Decks: Heroes vs. Monsters|DDL|DuelDecksHeroesVsMonsters|
Duel Decks: Jace vs. Vraska|DDM|DuelDecksJaceVsVraska|
Duel Decks: Speed vs. Cunning|DDN|DuelDecksSpeedVsCunning|
Duel Decks: Elspeth vs. Kiora|DDO|DuelDecksElspethVsKiora|
Duel Decks: Zendikar vs. Eldrazi|DDP|DuelDecksZendikarVsEldrazi|
Duel Decks: Blessed vs. Cursed|DDQ|DuelDecksBlessedVsCursed|
Duel Decks: Nissa vs. Ob Nixilis|DDR|DuelDecksNissaVsObNixilis|
Duel Decks: Mind vs. Might|DDS|DuelDecksMindVsMight|
Duel Decks: Merfolk vs. Goblins|DDT|DuelDecksMerfolkVsGoblins|
Duel Decks: Elves vs. Goblins|EVG|DuelDecksElvesVsGoblins|
Duel Decks: Elves vs. Inventors|DDU|DuelDecksElvesVsInventors|
Duels of the Planeswalkers|DPA|DuelsOfThePlaneswalkers|
Duskmourn: House of Horror|DSK|DuskmournHouseOfHorror|
Duskmourn: House of Horror Commander|DSC|DuskmournHouseOfHorrorCommander|
Dragon's Maze|DGM|DragonsMaze|
Dissension|DIS|Dissension|
Dark Ascension|DKA|DarkAscension|
Deckmasters|DKM|Deckmasters|
Dominaria|DOM|Dominaria|
Dominaria United|DMU|DominariaUnited|
Dominaria United Commander|DMC|DominariaUnitedCommander|
From the Vault: Dragons|DRB|FromTheVaultDragons|
The Dark|DRK|TheDark|
Darksteel|DST|Darksteel|
Dragons of Tarkir|DTK|DragonsOfTarkir|
Archenemy: Nicol Bolas|E01|ArchenemyNicolBolas|
Explorers of Ixalan|E02|ExplorersOfIxalan|
Edge of Eternities|EOE|EdgeOfEternities|
Edge of Eternities Commander|EOC|EdgeOfEternitiesCommander|
Eternal Masters|EMA|EternalMasters|
Eldritch Moon|EMN|EldritchMoon|
European Land Program|EURO|EuropeanLandProgram|
Eventide|EVE|Eventide|
Exodus|EXO|Exodus|
Zendikar Expeditions|EXP|ZendikarExpeditions|
Fallout|PIP|Fallout|
Fallen Empires|FEM|FallenEmpires|
